Country,Region,Year,Happiness.Score,Health.Life.Expectancy,Trust.Government.Corruption,Generosity,Freedom,Social.support,GDP.per.capita
Albania,"Central and Eastern Europe",2016,4.655,0.73007,0.05301,0.1684,0.31866,0.50163,0.9553
Algeria,"Middle East and Northern Africa",2016,6.355,0.61804,0.16157,0.07044,0.21006,0.83309,1.05266
Angola,"Sub-Saharan Africa",2016,3.866,0.04991,0.08434,0.12071,0.00589,0.66366,0.84731
Argentina,"Latin America and Caribbean",2016,6.65,0.69711,0.07296,0.10989,0.42284,1.06612,1.15137
Armenia,"Central and Eastern Europe",2016,4.36,0.64083,0.03616,0.07793,0.14037,0.62477,0.86086
Australia,"Australia and New Zealand",2016,7.313,0.8512,0.32331,0.47407,0.56837,1.10476,1.44443
Austria,"Western Europe",2016,7.119,0.80565,0.21348,0.32865,0.54355,1.08383,1.45038
Azerbaijan,"Central and Eastern Europe",2016,5.291,0.54504,0.17914,0.0564,0.35327,0.76042,1.12373
Bahrain,"Middle East and Northern Africa",2016,6.218,0.65696,0.25772,0.17147,0.47375,0.94397,1.44024
Bangladesh,"Southern Asia",2016,4.643,0.52989,0.12583,0.19132,0.39778,0.24749,0.54177
Belarus,"Central and Eastern Europe",2016,5.802,0.63104,0.17457,0.13942,0.29091,1.04993,1.13062
Belgium,"Western Europe",2016,6.929,0.81959,0.26248,0.2424,0.51354,1.05249,1.42539
Belize,"Latin America and Caribbean",2016,5.956,0.45569,0.10771,0.23684,0.51231,0.68655,0.87616
Benin,"Sub-Saharan Africa",2016,3.484,0.21028,0.06681,0.2018,0.39747,0.10419,0.39499
Bhutan,"Southern Asia",2016,5.196,0.49759,0.1616,0.48546,0.46074,0.90836,0.8527
Bolivia,"Latin America and Caribbean",2016,5.822,0.4697,0.07746,0.21698,0.50961,0.83779,0.79422
"Bosnia and Herzegovina","Central and Eastern Europe",2016,5.163,0.70766,0,0.29889,0.09511,0.64367,0.93383
Botswana,"Sub-Saharan Africa",2016,3.974,0.34752,0.10769,0.12425,0.44089,0.89186,1.09426
Brazil,"Latin America and Caribbean",2016,6.952,0.61415,0.14166,0.15776,0.40425,1.03938,1.08754
Bulgaria,"Central and Eastern Europe",2016,4.217,0.67806,0.00615,0.12793,0.21219,0.92542,1.11306
"Burkina Faso","Sub-Saharan Africa",2016,3.739,0.21297,0.12533,0.24353,0.3337,0.63054,0.31995
Burundi,"Sub-Saharan Africa",2016,2.905,0.15747,0.09419,0.2029,0.0432,0.23442,0.06831
Cambodia,"Southeastern Asia",2016,3.907,0.42494,0.08092,0.40339,0.58852,0.5375,0.55604
Cameroon,"Sub-Saharan Africa",2016,4.513,0.12698,0.06126,0.2268,0.42736,0.62542,0.52497
Canada,"North America",2016,7.404,0.8276,0.31329,0.44834,0.5737,1.0961,1.44015
Chad,"Sub-Saharan Africa",2016,3.763,0.03824,0.04952,0.18667,0.12807,0.63178,0.42214
Chile,"Latin America and Caribbean",2016,6.705,0.81883,0.11451,0.31595,0.37789,0.90587,1.2167
China,"Eastern Asia",2016,5.245,0.73561,0.02745,0.04959,0.44012,0.79381,1.0278
Colombia,"Latin America and Caribbean",2016,6.481,0.59659,0.05399,0.15626,0.44735,1.02169,1.03032
Comoros,"Sub-Saharan Africa",2016,3.956,0.29981,0.18437,0.1827,0.15412,0.60323,0.27509
"Congo (Brazzaville)","Sub-Saharan Africa",2016,4.236,0.28212,0.09753,0.12077,0.37938,0.47799,0.77109
"Congo (Kinshasa)","Sub-Saharan Africa",2016,4.272,0.188,0.06075,0.25458,0.15602,0.80676,0.05661
"Costa Rica","Latin America and Caribbean",2016,7.087,0.76146,0.10547,0.22553,0.55225,1.02152,1.06879
Croatia,"Central and Eastern Europe",2016,5.488,0.70524,0.04002,0.18434,0.23907,0.60809,1.18649
Cyprus,"Western Europe",2016,5.546,0.8488,0.05228,0.27906,0.29507,0.70697,1.31857
"Czech Republic","Central and Eastern Europe",2016,6.596,0.76376,0.03986,0.09929,0.41418,1.00793,1.30915
Denmark,"Western Europe",2016,7.526,0.79504,0.44453,0.36171,0.57941,1.16374,1.44178
"Dominican Republic","Latin America and Caribbean",2016,5.155,0.57669,0.12372,0.21286,0.52259,0.99496,1.02787
Ecuador,"Latin America and Caribbean",2016,5.976,0.68613,0.18037,0.10074,0.4027,0.85974,0.97306
Egypt,"Middle East and Northern Africa",2016,4.362,0.52116,0.10393,0.12706,0.18847,0.49813,0.95395
"El Salvador","Latin America and Caribbean",2016,6.068,0.596,0.10613,0.08877,0.37269,0.80975,0.8737
Estonia,"Central and Eastern Europe",2016,5.517,0.68098,0.18519,0.08423,0.41511,1.05163,1.27964
Ethiopia,"Sub-Saharan Africa",2016,4.508,0.34578,0.1717,0.29522,0.36703,0.37932,0.29283
Finland,"Western Europe",2016,7.413,0.81091,0.41004,0.25492,0.57104,1.13464,1.40598
France,"Western Europe",2016,6.478,0.83795,0.17808,0.1216,0.46562,1.00508,1.39488
Gabon,"Sub-Saharan Africa",2016,4.121,0.3494,0.09314,0.06244,0.28098,0.72368,1.15851
Georgia,"Central and Eastern Europe",2016,4.252,0.64035,0.3188,0.06786,0.32461,0.19249,0.83792
Germany,"Western Europe",2016,6.994,0.81487,0.28551,0.30452,0.53466,1.09774,1.44787
Ghana,"Sub-Saharan Africa",2016,4.276,0.29681,0.0326,0.21203,0.40973,0.49353,0.63107
Greece,"Western Europe",2016,5.033,0.80029,0.04127,0,0.05822,0.75473,1.24886
Guatemala,"Latin America and Caribbean",2016,6.324,0.54039,0.08701,0.28808,0.50379,0.87119,0.83454
Guinea,"Sub-Saharan Africa",2016,3.607,0.18829,0.1192,0.29914,0.30953,0.3109,0.22415
Haiti,"Latin America and Caribbean",2016,4.028,0.27494,0.14476,0.47958,0.12072,0.29561,0.34097
Honduras,"Latin America and Caribbean",2016,4.871,0.58383,0.06906,0.2044,0.26755,0.75596,0.69429
"Hong Kong","Eastern Asia",2016,5.458,0.95277,0.31647,0.40097,0.48079,0.87021,1.5107
Hungary,"Central and Eastern Europe",2016,5.145,0.67608,0.04472,0.099,0.1977,0.93164,1.24142
Iceland,"Western Europe",2016,7.501,0.86733,0.14975,0.47678,0.56624,1.18326,1.42666
India,"Southern Asia",2016,4.404,0.45091,0.08722,0.25028,0.40285,0.29247,0.74036
Indonesia,"Southeastern Asia",2016,5.314,0.49374,0.00322,0.56521,0.39237,0.87625,0.95104
Iran,"Middle East and Northern Africa",2016,4.813,0.64232,0.0557,0.38538,0.22544,0.38857,1.11758
Iraq,"Middle East and Northern Africa",2016,4.575,0.51076,0.13636,0.19589,0.24856,0.59205,1.07474
Ireland,"Western Europe",2016,6.907,0.81455,0.29754,0.44963,0.54008,1.16157,1.48341
Israel,"Middle East and Northern Africa",2016,7.267,0.84917,0.08728,0.32288,0.36432,0.99537,1.33766
Italy,"Western Europe",2016,5.977,0.85102,0.02556,0.16684,0.18827,1.04167,1.35495
"Ivory Coast","Sub-Saharan Africa",2016,3.916,0.04476,0.1553,0.20338,0.40663,0.57576,0.55507
Jamaica,"Latin America and Caribbean",2016,5.51,0.59469,0.04294,0.22245,0.43597,0.96372,0.89333
Japan,"Eastern Asia",2016,5.921,0.91491,0.18985,0.10224,0.46761,1.06054,1.38007
Jordan,"Middle East and Northern Africa",2016,5.303,0.60712,0.13297,0.14262,0.36023,0.86216,0.99673
Kazakhstan,"Central and Eastern Europe",2016,5.919,0.57386,0.11132,0.15011,0.4052,0.95544,1.22943
Kenya,"Sub-Saharan Africa",2016,4.356,0.30147,0.06686,0.41328,0.40576,0.7624,0.52267
Kosovo,"Central and Eastern Europe",2016,5.401,0.54,0.06547,0.27992,0.14396,0.66062,0.90145
Kuwait,"Middle East and Northern Africa",2016,6.239,0.63569,0.23669,0.15965,0.43166,0.87758,1.61714
Kyrgyzstan,"Central and Eastern Europe",2016,5.185,0.55449,0.04762,0.38432,0.40212,0.95434,0.56044
Laos,"Southeastern Asia",2016,4.876,0.38291,0.22423,0.43079,0.52168,0.5497,0.68042
Latvia,"Central and Eastern Europe",2016,5.56,0.63952,0.0889,0.17445,0.27996,0.95025,1.21788
Lebanon,"Middle East and Northern Africa",2016,5.129,0.76171,0.03061,0.23693,0.26228,0.64184,1.12268
Liberia,"Sub-Saharan Africa",2016,3.622,0.23165,0.04852,0.24063,0.25748,0.50353,0.10706
Libya,"Middle East and Northern Africa",2016,5.615,0.52304,0.10339,0.17087,0.40672,0.95076,1.06688
Lithuania,"Central and Eastern Europe",2016,5.813,0.64674,0.0182,0.02025,0.18929,1.06411,1.2692
Luxembourg,"Western Europe",2016,6.871,0.84542,0.35329,0.27571,0.5487,1.03999,1.69752
Macedonia,"Central and Eastern Europe",2016,5.121,0.64738,0.07047,0.23507,0.27668,0.78236,1.0193
Madagascar,"Sub-Saharan Africa",2016,3.695,0.37109,0.07506,0.2204,0.13684,0.46115,0.27954
Malawi,"Sub-Saharan Africa",2016,4.156,0.29364,0.07564,0.30968,0.4143,0.147,0.08709
Malaysia,"Southeastern Asia",2016,6.005,0.62366,0.09081,0.41474,0.39031,0.88025,1.25142
Mali,"Sub-Saharan Africa",2016,4.073,0.16347,0.13647,0.21064,0.27544,0.86333,0.31292
Malta,"Western Europe",2016,6.488,0.80315,0.17554,0.56237,0.54994,1.09879,1.30782
Mauritania,"Sub-Saharan Africa",2016,4.201,0.28639,0.17955,0.22686,0.1268,0.84142,0.61391
Mauritius,"Sub-Saharan Africa",2016,5.648,0.66189,0.05203,0.36951,0.46145,0.75695,1.14372
Mexico,"Latin America and Caribbean",2016,6.778,0.71143,0.18355,0.11735,0.37709,0.7146,1.11508
Moldova,"Central and Eastern Europe",2016,5.897,0.52309,0.01903,0.19997,0.25202,0.83132,0.69177
Mongolia,"Eastern Asia",2016,4.907,0.55469,0.03285,0.34539,0.35972,1.08983,0.98853
Montenegro,"Central and Eastern Europe",2016,5.161,0.63533,0.12721,0.17191,0.15111,0.74173,1.07838
Morocco,"Middle East and Northern Africa",2016,5.151,0.59471,0.08404,0.04053,0.25646,0.38595,0.84058
Myanmar,"Southeastern Asia",2016,4.395,0.3988,0.20243,0.81971,0.42692,0.69981,0.34112
Namibia,"Sub-Saharan Africa",2016,4.574,0.34745,0.10398,0.07795,0.48614,0.70362,0.93287
Nepal,"Southern Asia",2016,4.793,0.50073,0.07008,0.3816,0.37012,0.69699,0.44626
Netherlands,"Western Europe",2016,7.339,0.81231,0.29927,0.47416,0.55211,1.02912,1.46468
"New Zealand","Australia and New Zealand",2016,7.334,0.83096,0.41904,0.49401,0.58147,1.17278,1.36066
Nicaragua,"Latin America and Caribbean",2016,5.992,0.65213,0.16292,0.29773,0.46582,0.89521,0.69384
